"Symbol","Name","Price..Intraday.","Change","X..Change","Volume","Avg.Vol..3.month.","Market.Cap","PE.Ratio..TTM.","X52.Week.Range"
"PTT.BK","PTT Public Company Limited",33.5,0,"0.00%","24.596M","57.727M",9.5686e+14,"9.46",NA
"PTTEP.BK","PTT Exploration and Production Public Company Limited",172,-1,"-0.58%","7.328M","12.044M",6.82838e+14,"10.31",NA
"GULF.BK","Gulf Energy Development Public Company Limited",54,0.25,"+0.47%","15.498M","15.371M",6.33587e+14,"70.13",NA
"CPALL.BK","CP ALL Public Company Limited",68.75,0.25,"+0.36%","19.45M","22.737M",6.17581e+14,"39.06",NA
"ADVANC.BK","Advanced Info Service Public Company Limited",202,0,"0.00%","3.116M","5.521M",6.00748e+14,"23.57",NA
"BDMS.BK","Bangkok Dusit Medical Services Public Company Limited",30.25,0,"0.00%","25.128M","42.162M",4.80733e+14,"39.29",NA
"MAKRO.BK","Siam Makro Public Company Limited",42,-1,"-2.33%","25.488M","11.138M",4.44373e+14,"21.99",NA
"SCC.BK","The Siam Cement Public Company Limited",356,0,"0.00%","1.622M","2.093M",4.272e+14,"14.47",NA
"SCB.BK","SCB X Public Company Limited",111,1,"+0.91%","7.004M","8.303M",3.73749e+14,"9.86",NA
"KBANK.BK","Kasikornbank Public Company Limited",153.5,1,"+0.66%","11.865M","11.312M",3.63692e+14,"8.72",NA
"EA.BK","Energy Absolute Public Company Limited",90,2.25,"+2.56%","13.73M","9.139M",3.357e+14,"45.69",NA
"CPN.BK","Central Pattana Public Company Limited",69.5,0.75,"+1.09%","3.554M","8.208M",3.10724e+14,"32.03",NA
"BBL.BK","Bangkok Bank Public Company Limited",154.5,0,"0.00%","9.303M","7.912M",2.94916e+14,"10.51",NA
"OR.BK","PTT Oil and Retail Business Public Company Limited",23.8,0.2,"+0.85%","13.814M","21.799M",2.856e+14,"21.06",NA
"CRC.BK","Central Retail Corporation Public Company Limited",44,0.5,"+1.15%","11.986M","12.876M",2.65364e+14,"42.72",NA
"KTB.BK","Krung Thai Bank Public Company Limited",17.4,0,"0.00%","59.63M","35.373M",2.43184e+14,"7.98",NA
"INTUCH.BK","Intouch Holdings Public Company Limited",75.5,0,"0.00%","2.304M","3.386M",2.42105e+14,"23.59",NA
"SCGP.BK","SCG Packaging Public Company Limited",55.25,0.25,"+0.45%","7.442M","8.247M",2.37188e+14,"32.12",NA
"IVL.BK","Indorama Ventures Public Company Limited",41.75,-0.5,"-1.18%","12.436M","13.969M",2.34407e+14,"4.97",NA
"BAY.BK","Bank of Ayudhya Public Company Limited",31.5,0,"0.00%","191,465","597,836",2.31706e+14,"7.82",NA
"PTTGC.BK","PTT Global Chemical Public Company Limited",51.25,-0.25,"-0.49%","9.827M","16.409M",2.31079e+14,"14.60",NA
"GPSC.BK","Global Power Synergy Public Company Limited",73.5,0.75,"+1.03%","7.012M","6.063M",2.0725e+14,"82.58",NA
"AWC.BK","Asset World Corp Public Company Limited",6.2,0.2,"+3.33%","93.961M","55.527M",1.98405e+14,"56.36",NA
"HMPRO.BK","Home Product Center Public Company Limited",14.8,-0.1,"-0.67%","33.108M","25.139M",1.94638e+14,"30.83",NA
"CPF.BK","Charoen Pokphand Foods Public Company Limited",24.2,0.1,"+0.41%","7.006M","19.872M",1.9191e+14,"10.52",NA
"MINT.BK","Minor International Public Company Limited",33,0.25,"+0.76%","29.299M","25.022M",1.74075e+14,"N/A",NA
"BH.BK","Bumrungrad Hospital Public Company Limited",211,3,"+1.44%","3.206M","3.372M",1.67721e+14,"45.77",NA
"TRUE.BK","True Corporation Public Company Limited",4.86,-0.02,"-0.41%","40.665M","65.565M",1.62169e+14,"N/A",NA
"TLI.BK","Thai Life Insurance Public Company Limited",14,0.1,"+0.72%","9.015M","24.437M",1.603e+14,"19.44",NA
"KTC.BK","Krungthai Card Public Company Limited",58.5,-0.75,"-1.27%","2.273M","4.943M",1.50832e+14,"22.67",NA
"BEM.BK","Bangkok Expressway and Metro Public Company Limited",9.65,0.05,"+0.52%","22.503M","47.377M",1.475e+14,"64.33",NA
"BJC.BK","Berli Jucker Public Company Limited",36.25,-0.5,"-1.36%","7.231M","6.275M",1.45283e+14,"30.72",NA
"TTB.BK","TMBThanachart Bank Public Company Limited",1.42,0,"0.00%","240.606M","248.63M",1.37422e+14,"10.14",NA
"TOP.BK","Thai Oil Public Company Limited",58,0.5,"+0.87%","12.424M","10.303M",1.29563e+14,"3.16",NA
"LH.BK","Land and Houses Public Company Limited",9.7,0.05,"+0.52%","12.585M","35.195M",1.15912e+14,"13.86",NA
"DTAC.BK","Total Access Communication Public Company Limited",48.75,-0.25,"-0.51%","9.75M","8.416M",1.15431e+14,"47.33",NA
"BTS.BK","BTS Group Holdings Public Company Limited",8.6,-0.1,"-1.15%","35.354M","19.907M",1.13241e+14,"39.09",NA
"BGRIM.BK","B.Grimm Power Public Company Limited",42.25,1,"+2.42%","9.853M","11.354M",1.10142e+14,"1,408.33",NA
"BANPU.BK","Banpu Public Company Limited",12.3,-0.1,"-0.81%","84.535M","89.751M",1.03986e+14,"2.53",NA
"CBG.BK","Carabao Group Public Company Limited",101.5,-1,"-0.98%","2.05M","4.248M",1.015e+14,"40.76",NA
"GLOBAL.BK","Siam Global House Public Company Limited",20.8,0.6,"+2.97%","26.01M","11.325M",9.9876e+13,"27.01",NA
"JMT.BK","JMT Network Services Public Company Limited",66.25,-0.25,"-0.38%","9.887M","5.513M",9.6669e+13,"51.36",NA
"RATCH.BK","Ratch Group Public Company Limited",44,0,"0.00%","1.063M","5.515M",9.57e+13,"10.11",NA
"EGCO.BK","Electricity Generating Public Company Limited",175.5,1,"+0.57%","588,684","916,001",9.2395e+13,"23.78",NA
"OSP.BK","Osotspa Public Company Limited",30,0,"0.00%","5.42M","7.388M",9.0112e+13,"37.04",NA
"MTC.BK","Muangthai Capital Public Company Limited",41.25,-0.25,"-0.60%","5.227M","13.82M",8.745e+13,"17.26",NA
"ITC.BK","i-Tail Corporation Public Company Limited",28,-0.25,"-0.88%","1.192M","16.214M",8.4e+13,"17.28",NA
"TISCO.BK","TISCO Financial Group Public Company Limited",103,1,"+0.98%","2.216M","3.537M",8.2467e+13,"11.43",NA
"PSG.BK","PSG Corporation Public Company Limited",1.26,-0.01,"-0.79%","29.313M","55.221M",8.189e+13,"126.00",NA
"COM7.BK","Com7 Public Company Limited",32.75,0,"0.00%","8.027M","9.997M",7.8109e+13,"25.99",NA
"TU.BK","Thai Union Group Public Company Limited",16.5,0,"0.00%","7.657M","24.858M",7.6805e+13,"10.19",NA
"SAWAD.BK","Srisawad Corporation Public Company Limited",55.75,0.25,"+0.45%","5.264M","10.207M",7.6553e+13,"17.37",NA
"TIDLOR.BK","Ngern Tid Lor Public Company Limited",30.25,-0.25,"-0.82%","18.659M","11.288M",7.5545e+13,"21.45",NA
"TOA.BK","TOA Paint (Thailand) Public Company Limited",35,0,"0.00%","6.398M","1.67M",7.1015e+13,"43.75",NA
"CENTEL.BK","Central Plaza Hotel Public Company Limited",51.25,-0.25,"-0.49%","921,349","4.918M",6.9188e+13,"1,025.00",NA
"TFMAMA.BK","Thai President Foods Public Company Limited",200,-2,"-0.99%","2,603","2,914",6.5941e+13,"23.36",NA
"RAM.BK","Ramkhamhaeng Hospital Public Company Limited",53.75,-0.25,"-0.46%","180,906","496,481",6.45e+13,"18.41",NA
"IRPC.BK","IRPC Public Company Limited",3.14,-0.02,"-0.63%","57.749M","72.473M",6.4089e+13,"12.56",NA
"KKP.BK","Kiatnakin Phatra Bank Public Company Limited",73.25,1,"+1.38%","5.045M","4.224M",6.2025e+13,"7.57",NA
